month,nadp
2022-08-01,6.55
2022-07-01,6.5
2022-06-01,6.45
2022-05-01,6.45
2022-04-01,6.43
2022-03-01,6.48
2022-02-01,6.38
2022-01-01,6.45
2021-12-01,6.65
2021-11-01,6.73
2021-10-01,6.81
2021-09-01,6.77
2021-08-01,6.67
2021-07-01,6.75
2021-06-01,6.88
2021-05-01,6.82
2021-04-01,6.86
2021-03-01,6.95
2021-02-01,6.86
2021-01-01,6.92
2020-12-01,7
2020-11-01,6.98
2020-10-01,7.17
2020-09-01,7.14
2020-08-01,7.02
2020-07-01,7.11
2020-06-01,7.1
2020-05-01,7.06
2020-04-01,7.04
2020-03-01,7.11
2020-02-01,6.92
2020-01-01,7.02
2019-12-01,7.05
2019-11-01,7.07
2019-10-01,7.14
2019-09-01,7.15
2019-08-01,7.16
2019-07-01,7.04
2019-06-01,7.07
2019-05-01,7.13
2019-04-01,7.09
2019-03-01,7.09
2019-02-01,7.14
2019-01-01,7.19
2018-12-01,7.18
2018-11-01,7.23
2018-10-01,7.31
2018-09-01,7.2
2018-08-01,7.22
2018-07-01,7.13
2018-06-01,7.22
2018-05-01,7.19
2018-04-01,7.26
2018-03-01,7.18
2018-02-01,7.31
2018-01-01,7.33
2017-12-01,7.37
2017-11-01,7.52
2017-10-01,7.43
2017-09-01,7.37
2017-08-01,7.47
2017-07-01,7.48
2017-06-01,7.38
2017-05-01,7.3
2017-04-01,7.42
2017-03-01,7.28
2017-02-01,7.33
2017-01-01,7.42
2016-12-01,7.37
2016-11-01,7.44
2016-10-01,7.39
2016-09-01,7.35
2016-08-01,7.34
2016-07-01,7.34
2016-06-01,7.42
2016-05-01,7.45
2016-04-01,7.46
2016-03-01,7.43
2016-02-01,7.46
2016-01-01,7.64
2015-12-01,7.54
2015-11-01,7.63
2015-10-01,7.54
2015-09-01,7.48
2015-08-01,7.56
2015-07-01,7.52
2015-06-01,7.48
2015-05-01,7.51
2015-04-01,7.52
2015-03-01,7.43
2015-02-01,7.51
2015-01-01,7.7
2014-12-01,7.62
2014-11-01,7.77
2014-10-01,7.56
2014-09-01,7.53
2014-08-01,7.58
2014-07-01,7.52
2014-06-01,7.65
2014-05-01,7.58
2014-04-01,7.66
